title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
Top Grier			United States	TV-14	Reality TV	Social media star Hayes Grier returns to North Carolina for a reality series packed with action sports, pranks and romantic escapades.	81029570	2018		3
Nurse Jackie		Edie Falco, Merritt Wever, Paul Schulze, Peter Facinelli, Stephen Wallem, Eve Best, Dominic Fumusa, Ruby Jerins, Anna Deavere Smith	United States	TV-MA	TV Comedies, TV Dramas	A flawed but dedicated ER nurse works in a New York City hospital and relies on pain meds to get through exhausting days in this Emmy-winning show.	70142362	2015		7
Alexa & Katie		Paris Berelc, Isabel May, Tiffani Thiessen, Emery Kelly, Jolie Jenkins, Kerri Medders, Finn Carr, Eddie Shin	United States	TV-Y7	Kids' TV, TV Comedies	Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.	80174285	2018		2
Highway Thru Hell		Dave Pettitt, Jamie Davis, Adam Gazzola, Kevin Ritchie	Canada	TV-PG	Reality TV	On the hazardous highways of Canada's interior, heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.	80094603	2016		3
The Sound of Your Heart: Reboot		Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung	South Korea	TV-14	International TV Shows, Korean TV Shows, TV Comedies	Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics, and bathroom blunders in this reboot starring an all-new cast.	81029884	2018		2
Lost & Found Music Studios		Victoria Baldesarra, Sarah Carmosino, Jordan Clark, DeShaun Clarke, Keara Graves, Katrina Hachey, Shane Harte, Ali Milner, Levi Randall, Brittany Raymond, Trevor Tordjman, Michael Torontow, Alex Zaichkowski, Matthew Bacik, Alyssa Baker, Ella Jonas Farlinger, Ian Matthews, Rakim Kelly, Bailey Pelkman, Olivia Solo	Canada	TV-G	Kids' TV, TV Comedies, TV Dramas	Teen singers-songwriters in an elite music program form bonds of friendship, creativity and romance while turning their passion into their profession.	80063989	2016		2
When Calls the Heart		Erin Krakow, Daniel Lissing, Lori Loughlin, Martin Cummins, Chelah Horsdal, Gracyn Shinyei, Jack Wagner, Mitchell Kummen, Loretta Walsh, Erica Carroll, Darius Zaviceanu, Charlotte Hegele, Steve Bacic, Adrian Hough	United States	TV-G	TV Dramas	Leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small Canadian mining community.	80036407	2017		5
Comedy Bang! Bang!		Scott Aukerman, Reggie Watts	United States	TV-14	Stand-Up Comedy & Talk Shows, TV Comedies	Scott Aukerman brings his popular podcast Comedy Bang! Bang! to television, along with his co-host and bandleader, Reggie Watts.	70269429	2016		5
AJIN: Demi-Human		Mamoru Miyano, Yoshimasa Hosoya, Jun Fukuyama, Hochu Otsuka, Daisuke Hirakawa, Takahiro Sakurai, Mikako Komatsu, Hiroyuki Kinoshita, Aya Suzaki	Japan	TV-MA	Anime Series, International TV Shows	A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.	80043576	2016		2
The West Wing		Martin Sheen, Rob Lowe, Allison Janney, John Spencer, Bradley Whitford, Janel Moloney, Richard Schiff, Dulé Hill, NiCole Robinson, Melissa Fitzgerald, Joshua Malina, Stockard Channing, Kim Webster, Kris Murphy, Timothy Davis-Reed	United States	TV-14	TV Dramas	This powerful political epic chronicles the triumphs and travails of White House senior staff under the administration of President Josiah Bartlet.	70157152	2005		7
El señor de los Cielos		Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez	United States, Mexico, Colombia	TV-14	Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure	Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.	70296346	2018		6
忍者ハットリくん			Japan	TV-Y7	Anime Series, Kids' TV	Hailing from the mountains of Iga, Kanzo Hattori moves in with elementary school student Kenichi Mitsuba and his family to hone his skills as a ninja.	80990464	2012		2
Sense8		Tuppence Middleton, Brian J. Smith, Doona Bae, Max Riemelt, Naveen Andrews, Daryl Hannah, Freema Agyeman, Terrence Mann, Adam Shapiro, Max Mauff, Alfonso Herrera, Eréndira Ibarra, Aml Ameen, Jamie Clayton, Tina Desae, Miguel Ángel Silvestre, Toby Onwumere, Joe Pantoliano	United States	TV-MA	TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy	"From the creators of \"The Matrix\" and \"Babylon 5\" comes this tense series in which eight people can telepathically experience each other's lives."	80025744	2018		2
Private Practice		Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben	United States	TV-14	TV Comedies, TV Dramas	At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine.	70157294	2012		6
People Just Do Nothing		Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis	United Kingdom	TV-MA	British TV Shows, TV Comedies	Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.	80125291	2018		5
LAST HOPE		Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano	Japan	TV-14	Anime Series, International TV Shows	After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.	80221272	2018		2
Fate/stay night: Unlimited Blade Works		Noriaki Sugiyama, Kana Ueda, Ayako Kawasumi, Junichi Suwabe, Noriko Shitaya, Mai Kadowaki, Masaki Terasoma, Nobutoshi Canna, Atsuko Tanaka, Shinichiro Miki, Yuu Asakawa, Miki Ito, Hiroshi Kamiya, Jouji Nakata, Tomokazu Seki	Japan	TV-MA	Anime Series, International TV Shows	High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail.	80040330	2015		2
Borderline		David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie	United Kingdom	TV-14	British TV Shows, TV Comedies	A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.	80157752	2017		2
Hello, My Twenties!		Ye-ri Han, Seung-Yeon Han, Eun-bin Park, Hwa-young Ryu, Hye-soo Park	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	With different personalities, life goals and taste in men, five female college students become housemates in a shared residence called Belle Epoque.	80128686	2017		2
Pee-wee's Playhouse		Paul Reubens	United States	TV-PG	Classic & Cult TV, Kids' TV, TV Comedies	Pee-wee Herman brings his stage show to the masses with this innovative live-action kids series that invites viewers into his quirky, childlike world.	80023876	1990		5
The Magicians		Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn	United States	TV-MA	TV Dramas, TV Sci-Fi & Fantasy	When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.	80092801	2018		3
Cocomong		Jung Sun-hye, Yang Jeong-hwa, Kim Jang, Ryoo Jeom-hee, Hong Bum-ki, Shin Yong-woo		TV-Y	Kids' TV, Korean TV Shows	What's in your fridge? In sunny Refrigerator Land, everyday ingredients transform into animal friends who love a good adventure.	81215567	2015		2
Scooby-Doo!: Mystery Incorporated		Frank Welker, Mindy Cohn, Grey DeLisle, Matthew Lillard, Patrick Warburton, Gary Cole, Frances Conroy, Vivica A. Fox		TV-Y7-FV	Kids' TV	In this animated update of the cartoon classic, Scooby-Doo, Shaggy and their pals solve spooky mysteries in a hamlet bedeviled by supernatural bedlam.	70171947	2012		2
What's New Scooby-Doo?		Frank Welker, Casey Kasem, Mindy Cohn, Grey DeLisle	United States	TV-Y7	Kids' TV, TV Comedies	Scooby-Doo and the gang enter the 21st century with this updated edition of the original series with more ghoulish mysteries to solve.	70308794	2005		3
Bad Education		Jack Whitehall, Mathew Horne, Sarah Solemani, Michelle Gomez, Nikki Runeckles, Kae Alexander, Layton Williams, Ethan Lawrence, Charlie Wernham, Jack Binstead, Jack Bence, Harry Enfield	United Kingdom	TV-MA	British TV Shows, TV Comedies	A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.	80105030	2014		3
Flowers		Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter	United Kingdom	TV-MA	British TV Shows, TV Comedies, TV Dramas	Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together.	81040405	2018		2
Shtisel		Doval'e Glickman, Michael Aloni, Ayelet Zurer, Neta Riskin, Shira Haas, Sarel Piterman, Zohar Shtrauss, Orly Silbersatz Banai, Sasson Gabai, Shlomo Shitrit	Israel	TV-PG	International TV Shows, TV Dramas	A Haredi family living in an ultra-Orthodox neighborhood of Jerusalem reckons with love, loss and the doldrums of daily life.	81004164	2015		2
Chasing Monsters		Cyril Chauquet	Canada	TV-PG	Docuseries, Reality TV, Science & Nature TV	Adventurer Cyril Chauquet seeks out the most colossal and dangerous underwater creatures around the world in this adrenaline-packed series.	80092415	2016		2
Reggie Yates Outside Man		Reggie Yates	United Kingdom	TV-MA	British TV Shows, Docuseries, International TV Shows	Award-winning filmmaker Reggie Yates travels around the world tackling big issues such as gun violence, racism, gay rights and addiction.	80191975	2017		2
The Windsors		Harry Enfield, Haydn Gwynne, Hugh Skinner, Louise Ford, Richard Goulding, Matthew Cottle, Morgana Robinson, Celeste Dring, Katy Wix, Ellie White	United Kingdom	TV-MA	British TV Shows, International TV Shows, TV Comedies	The all-too-public trials and tribulations of England's royal family are reimagined as an over-the-top comedic soap opera.	80216651	2017		2
InuYasha		Kappei Yamaguchi, Satsuki Yukino, Kumiko Watanabe, Noriko Hidaka, Koji Tsujitani, Houko Kuwashima, Toshiyuki Morikawa, Richard Ian Cox, Moneca Stori, Paul Dobson, Kirby Morrow, Kelly Sheridan, Jillian Michaels	Japan	TV-14	Anime Series, International TV Shows	Yanked down a well, schoolgirl Kagome Higurashi emerges in feudal Japan, where she must reassemble a sacred jewel while eluding half-demon Inuyasha.	70204995	2001		2
Merlin	James Hawes	Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker	United Kingdom	TV-PG	British TV Shows, International TV Shows, TV Action & Adventure	This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle.	70142436	2012		5
Hart of Dixie		Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel, Scott Porter, Tim Matheson, Kaitlyn Black, Ross Philips	United States	TV-PG	TV Comedies, TV Dramas	Fast-talking city girl Zoe Hart winds up patching up the locals of a tiny town in the Deep South when she inherits a medical practice in Alabama.	70196150	2014		4
Fit for Fashion		Louise Roe		TV-14	International TV Shows, Reality TV	In this reality series, physique meets fashion as contestants compete in challenges to transform both body and image for the grand prize of $100,000.	80989891	2015		2
Inside the World’s Toughest Prisons		Paul Connolly	United Kingdom	TV-MA	British TV Shows, Crime TV Shows, Docuseries	Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule.	80116922	2018		3
The Apartment		Jamie Durie, Laurence Llewelyn-Bowen	Singapore	TV-PG	International TV Shows, Reality TV	With their eyes on the grand prize, amateur designers push their creative limits in this reality competition show hosted by design icon Jamie Durie.	80989867	2014		2
Travelers		Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore	Canada, United States	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future.	80105699	2018		3
Halt and Catch Fire		Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish	United States	TV-14	TV Dramas	Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues.	70302182	2017		4
Wanted		Rebecca Gibney, Geraldine Hakewill, Stephen Peacocke	Australia	TV-14	Crime TV Shows, International TV Shows, TV Dramas	Polar-opposite strangers Lola and Chelsea become partners on the run when they witness a murder involving dirty cops and are framed for the crime.	80195522	2018		3
Outlander		Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie	United States	TV-MA	Romantic TV Shows, TV Action & Adventure, TV Dramas	This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.	70285581	2016		2
Knights of Sidonia		Ryota Osaka, Aya Suzaki, Aki Toyosaki, Takahiro Sakurai, Hisako Kanemoto, Eri Kitamura, Sayaka Ohara, Tomohiro Tsuboi, Takehito Koyasu, Satomi Arai, Atsuko Tanaka, Nanako Mori, Takako Honda, Kohsuke Toriumi, Ayane Sakura, Osamu Saka	Japan	TV-MA	Anime Series, International TV Shows	A hero rises to save a world that's also a spaceship under siege by an alien threat in this original anime series based on the popular manga comic.	70301578	2015		2
Sonic X		Suzanne Goldish, Dan Green, Jason Anthony Griffith, Rebecca Honig, Lisa Ortiz, Amy Palant, Mike Pollock, Jack Quevas	Japan	TV-Y7	Anime Series, Kids' TV	While battling the evil Dr. Eggman, Sonic gets caught in an explosion that sends him, his pals and his enemy to the unfamiliar planet Earth. With the help of a young boy, Sonic sets out to find the powerful Chaos Emeralds and defeat Dr. Eggman.	60036794	2004		4
Space Jungle		Kim Min-hee, Park Yoon-hee, Sun Sung-wook		TV-Y7	Kids' TV, Korean TV Shows, TV Comedies	A broken spaceship strands four very tiny aliens on Earth, where they discover an adventure (and strange dangers!) that they never expected.	81210234	2016		2
The Repair Shop			United Kingdom	PG	British TV Shows, Reality TV	Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories.	81224128	2018		2
Eastsiders		Kit Williamson, Van Hansis, Constance Wu, Matthew McKelligon, John Halbach, Stephen Guarino	United States	TV-MA	TV Comedies, TV Dramas	Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.	70304246	2018		4
Sensitive Skin		Kim Cattrall, Don McKellar, Nicolas Wright, Joanna Gleason, Colm Feore, Clé Bennett, Bob Martin, Elliott Gould	Canada	TV-MA	TV Comedies	Davina and Al try to revamp their lives as they struggle with the uncertainties of middle age in this darkly comic adaptation of the British hit.	80074152	2016		1
